ID	Type    Traffic
106	Two-stage	0.988505256	
107	Two-stage	0.988539831	
108	Two-stage	0.988582903	
109	Two-stage	0.988571707	
110	Two-stage	0.988605489	
111	Two-stage	0.988640614	
112	Two-stage	0.988670719	
113	Two-stage	0.988709579	
114	Two-stage	0.988749531	
115	Two-stage	0.988791115	

1	    Random-threshold	0.227770176
2	    Random-threshold	0.335462694
3	    Random-threshold	0.346810324
4	    Random-threshold	0.343006014
5	    Random-threshold	0.33481584
6	    Random-threshold	0.325964856
7	    Random-threshold	0.318768307
8	    Random-threshold	0.311700475
9	    Random-threshold	0.3062078
10	    Random-threshold	0.301674311
11	    Random-threshold	0.297663104
12	    Random-threshold	0.293892921
13	    Random-threshold	0.290616398
14	    Random-threshold	0.287786662
15	    Random-threshold	0.285186087
16	    Random-threshold	0.282713185
17	    Random-threshold	0.280529198
18	    Random-threshold	0.278576881
19	    Random-threshold	0.276801527
20	    Random-threshold	0.275192139
21	    Random-threshold	0.27371792
22	    Random-threshold	0.261851654
23	    Random-threshold	0.250983412
24	    Random-threshold	0.240979689
25	    Random-threshold	0.23161628
26	    Random-threshold	0.22295828
27	    Random-threshold	0.21497395
28	    Random-threshold	0.207576877
29	    Random-threshold	0.200697883
30	    Random-threshold	0.194321118
31	    Random-threshold	0.188540172
32	    Random-threshold	0.183211999
33	    Random-threshold	0.178215529
34	    Random-threshold	0.173501032
35	    Random-threshold	0.16906361
36	    Random-threshold	0.164878935
37	    Random-threshold	0.16149161
38	    Random-threshold	0.158573652
39	    Random-threshold	0.155888094
40	    Random-threshold	0.153346342
41	    Random-threshold	0.150649847
42	    Random-threshold	0.147963915
43	    Random-threshold	0.145478752
44	    Random-threshold	0.143145262
45	    Random-threshold	0.14097513
46	    Random-threshold	0.138917576
47	    Random-threshold	0.136931572
48	    Random-threshold	0.135045552
49	    Random-threshold	0.133262267
50	    Random-threshold	0.131556255
51	    Random-threshold	0.129704653
52	    Random-threshold	0.127907517
53	    Random-threshold	0.126181549
54	    Random-threshold	0.124534775
55	    Random-threshold	0.122948166
56	    Random-threshold	0.121427179
57	    Random-threshold	0.119965629
58	    Random-threshold	0.117933302
59	    Random-threshold	0.115952604
60	    Random-threshold	0.114045241
61	    Random-threshold	0.112206989
62	    Random-threshold	0.110415941
63	    Random-threshold	0.108483147
64	    Random-threshold	0.106591489
65	    Random-threshold	0.104911016
66	    Random-threshold	0.104113389
67	    Random-threshold	0.103346318
68	    Random-threshold	0.102605694
69	    Random-threshold	0.101884002
70	    Random-threshold	0.101221103
71	    Random-threshold	0.100581029
72	    Random-threshold	0.099961729
73	    Random-threshold	0.099362918
74	    Random-threshold	0.098781645
75	    Random-threshold	0.098218692
76	    Random-threshold	0.097667804
77	    Random-threshold	0.097117372
78	    Random-threshold	0.096776078
79	    Random-threshold	0.096453193
80	    Random-threshold	0.096138787
81	    Random-threshold	0.095850471
82	    Random-threshold	0.095573276
83	    Random-threshold	0.095300601
84	    Random-threshold	0.095038919
85	    Random-threshold	0.094788007
86	    Random-threshold	0.093783868
87	    Random-threshold	0.092738454
88	    Random-threshold	0.091725435
89	    Random-threshold	0.090736052
90	    Random-threshold	0.089772052
91	    Random-threshold	0.08876079
92	    Random-threshold	0.088274301
93	    Random-threshold	0.08779665
94	    Random-threshold	0.087323847
95	    Random-threshold	0.08685604
96	    Random-threshold	0.08639331
97	    Random-threshold	0.085918793
98	    Random-threshold	0.085448247
99	    Random-threshold	0.084983253
100	    Random-threshold	0.084522996
101	    Random-threshold	0.084067507
102	    Random-threshold	0.083616605
103	    Random-threshold	0.083170276
104	    Random-threshold	0.082728533
105	    Random-threshold	0.082291309
106	    Random-threshold	0.08185867
107	    Random-threshold	0.081429675
108	    Random-threshold	0.081005711
109	    Random-threshold	0.080583006
110	    Random-threshold	0.080168791
111	    Random-threshold	0.079762005
112	    Random-threshold	0.079357898
113	    Random-threshold	0.078956015
114	    Random-threshold	0.078559027
115	    Random-threshold	0.078166254
