BatchSize Type Performance
0 1stKeyGen 8.835850774
3 1stKeyGen 36.34726547
6 1stKeyGen 405.1044212
9 1stKeyGen 1051.475043
12  1stKeyGen 3238.461794
15  1stKeyGen 3375.601609
0 2ndKeyGen 9.328284561
3 2ndKeyGen 37.14887241
6 2ndKeyGen 440.1877676
9 2ndKeyGen 1437.024909
12  2ndKeyGen 5456.008269
15  2ndKeyGen 6631.14371
