groupType   type   ratio
prefix-1    FirstF  0.913126657	
prefix-1    MinF    0.91010599	
prefix-1    AllF    0.836018872
prefix-2    FirstF  0.887463878	
prefix-2    MinF    0.885287707	
prefix-2    AllF    0.817138469
prefix-3    FirstF  0.872812115	
prefix-3    MinF    0.869322491	
prefix-3    AllF    0.808734967
