groupType   type   ratio
1K  1F  21.04787689	
1K  2F  3.704474209	
1K  3F  1.906241094
5K  1F  155.8789174	
5K  2F  20.50569801	
5K  3F  10.41737892
10K 1F  325.5584046	
10K 2F  42.14245014	
10K 3F  21.45868946


