groupType   type   ratio
prefix-1    FirstF  0.37806106	
prefix-1    MinF    0.392797469	
prefix-1    AllF    0.226904657
prefix-2    FirstF  0.358288223	
prefix-2    MinF    0.367639184	
prefix-2    AllF    0.224666825
prefix-3    FirstF  0.333802452	
prefix-3    MinF    0.336468872	
prefix-3    AllF    0.223254997
