groupType    type            ratio
prefix-1      FirstF     0.029709316			 	
prefix-1      MinF       0.02257318			 		  
prefix-2      FirstF     0.029541466			 		
prefix-2      MinF       0.02236464			 		
prefix-3      FirstF     0.029093868 
prefix-3      MinF       0.022217136 
