groupType    type            ratio
prefix-1      FirstF     0.334964063		 
prefix-1      MinF       0.217174863		
prefix-2      FirstF     0.303906077	
prefix-2      MinF       0.197296293		
prefix-3      FirstF     0.269756475
prefix-3      MinF       0.175260019
