groupType   type   ratio
prefix-1    FirstF  0.531219681	
prefix-1    MinF    0.522060667	
prefix-2    FirstF  0.478510245	
prefix-2    MinF    0.474496013	
prefix-3    FirstF  0.436623597	
prefix-3    MinF    0.411640345	
