groupType    type            ratio
feature      FirstF      0.820083896
feature      MinF        0.757636821
feature      AllF        0.550272021
prefix-1      FirstF     0.733899818	 
prefix-1      MinF       0.681125261	
prefix-1      AllF       0.503924585	
prefix-2      FirstF     0.702369449	
prefix-2      MinF       0.652605835	
prefix-2      AllF       0.485487285	 
prefix-3      FirstF     0.655589255
prefix-3      MinF       0.610142271
prefix-3      AllF       0.457347091





