groupType   type   ratio
prefix-1    FirstF  0.992912072		
prefix-1    MinF    0.991926121		
prefix-1    AllF    0.986306453
prefix-2    FirstF  0.992794632		
prefix-2    MinF    0.991838041		
prefix-2    AllF    0.986277092
prefix-3    FirstF  0.992706552		
prefix-3    MinF    0.991749962		
prefix-3    AllF    0.986189013
