ID   type            ratio
1   firstFeature  0.947368		
1   minFeature    0.947368		
1   allFeature    0.410526	
2   firstFeature  1		
2   minFeature    1		
2   allFeature    1	
3  firstFeature   1		
3  minFeature     1		
3  allFeature     1
